person,title,to_name,function,start,from_name,from_title
Esteban Santos,"Vice President, Energy Project Development",Vantage,Energy & Utilities,3/2026,,
Jarrett Mackey,Strategic Negotiator – Data Center Leasing & Acquisitions,Google,Development & Real Estate,3/2026,Meta,Site Selection Manager
Graison Le,Senior Design Phase Manager,Mortenson,Design & Engineering,3/2026,,
Ron Partin,Senior Director of Construction,Vantage,Construction & Delivery,3/2026,TechSite,Director of Construction
Danny Arnott,Associate Director,Turner & Townsend,Pre-Construction & Cost,3/2026,,
Goran Arya,"Director, Energy Origination & Structuring, EMEA",Equinix,Energy & Utilities,3/2026,Lightsource BP,"Senior Director of Business Development, M&A"
Benjamin Delzell,Director of Construction NA / Production and Execution,Vantage,Construction & Delivery,3/2026,Currie & Brown,Associate Director
Steve Armanini,Senior Construction Project Manager,Digital Realty,Construction & Delivery,3/2026,,
Eduardo Crispim,Principal Cost Management Metro Lead - Data Center Construction,Microsoft,Pre-Construction & Cost,3/2026,,
David DaCunha,Vice President of Construction North America,Vantage,Construction & Delivery,3/2026,Cologix,Director of Construction
Rakesh Badraji,Project Manager - Datacenter development,AWS,Development & Real Estate,3/2026,Compass Datacenters,Project Development Manager
Brennetta Harris,Assistant Design Phase Manager,Mortenson,Design & Engineering,3/2026,,
Joel Anifowose,Land Acquisition Manager,DC BLOX,Development & Real Estate,3/2026,QTS Data Centers,Pre-Development Project Manager - Site Selection
Calum Hartop,Senior Cost Consultant,Turner & Townsend,Pre-Construction & Cost,3/2026,,
Shubham Kaushik,Associate Director,Turner & Townsend,Pre-Construction & Cost,3/2026,AtkinsRéalis,Senior Cost Manager
Alfredo Puyol,Estimator II,Mortenson,Pre-Construction & Cost,3/2026,,
Theo Duplechain,"Director, Energy Planning, NA",Vantage,Energy & Utilities,3/2026,CoServ Electric,System Planning Engineer
Derek J. Benson,Senior Manager - Construction & Development,CyrusOne,Development & Real Estate,3/2026,,
Brian Dragoo,Director of Construction,STACK Infrastructure,Construction & Delivery,3/2026,,
Bryant Tam,"Executive Director, Hyperscale & AI Campus Origination",NextEra Energy Resources,Development & Real Estate,3/2026,Hanwha Data Centers,Vice President
Fred Howard,Director,CloudHQ,Sales & Leasing,3/2026,Knight Frank,Director - Head of Data Centres APAC
Mark Buchanan,Vice President of Development & Design,CoreSite,Development & Real Estate,3/2026,Corgan,Vice President
Garrett Rood,"Senior Manager, Substation and Transmission",Crusoe,Energy & Utilities,3/2026,TRC Companies,"Director Substation Engineering, Mountain  Region"
Camille Bergue,Real estate asset and project manager - Interim management,SCOR,Development & Real Estate,3/2026,Microsoft,Data Center Land Acquisition Manager / Responsable Développement Foncier Datacenter
Matthew Boggs,Senior Preconstruction Manager,McKinstry,Pre-Construction & Cost,3/2026,Rosendin,Project Manager
Austin Volkmer,Development Project Manager,QTS Data Centers,Development & Real Estate,3/2026,,
Gordon Hom,"Sr. Director, Site Selection, Acquisitions, and Location Strategy",Vantage,Development & Real Estate,3/2026,Microsoft,"Sr. Manager, Global Data Center Site Acquisition and Development"
Trevor Otto,Sr. Estimating Manager,JE Dunn Construction,Pre-Construction & Cost,3/2026,,
Raymond Ortega,Project Manager,AWS,Construction & Delivery,3/2026,,
Justyna Van Zwienen (Szymczak),Site Acquisition Manager,Microsoft,Development & Real Estate,3/2026,Digital Realty,Property Manager
Kristin Moan,Senior Project Preconstruction Manager,Turner Construction,Pre-Construction & Cost,3/2026,Boh Bros Construction Co,Co-op for Pile Driving Division
