company,function,title,count,people
AES Clean Energy,Development & Real Estate,"Vice President, Head of US Wind Development",1,Arlo Corwin
AES Clean Energy,Development & Real Estate,"Vice President, Wind Development",1,Terrance Unrein
AES Clean Energy,Development & Real Estate,"VP, Development",1,Rob Cooper
AES Clean Energy,Development & Real Estate,Wind Development Manager,1,Jordan Ramljak
AES Clean Energy,Energy & Utilities,"Development Manager, Solar Development, AES Clean Energy",1,Kammy Harding-Crumbo
AES Clean Energy,Energy & Utilities,"Director, Development, AES Clean Energy",1,Adam Wingard
AES Clean Energy,Energy & Utilities,"Manager, Structured Origination, AES Clean Energy",1,Eduardo Wong
AES Clean Energy,Energy & Utilities,Renewable Energy Developer - Central Wind Development,1,Johnny Varner
AES Clean Energy,Energy & Utilities,Renewable Energy Development Analyst,1,Anthony Siebenmorgen
AES Clean Energy,Energy & Utilities,"Senior Manager, Renewables Engineering",1,Christopher Tagudar
AES Clean Energy,Energy & Utilities,"Team Lead, Origination - AES Clean Energy",1,Peter Nance
AES Clean Energy,Executive leadership,"Chief Development Officer (CDO), AES Clean Energy",1,Woody Rubin
AES Clean Energy,Pre-Construction & Cost,Vice President of Preconstruction,1,Sarah Skinner
AES Clean Energy,Sales & Leasing,"Senior Manager, Commercial Portfolio Execution",1,Pete Parkinson
AES Clean Energy,"Strategy, Finance & Investment","Director, Growth Strategy",2,Lauren Brunsdale; Logan Winston
AES Clean Energy,"Strategy, Finance & Investment","Senior Manager, Transmission Strategy",2,Alexey Orkin; Matthew Stobb
AES Clean Energy,"Strategy, Finance & Investment",M&A Director,1,Pamela Avila Herrera
AES Clean Energy,"Strategy, Finance & Investment","Sr. Manager, Transmission Strategy",1,Patrick Corrigan
AES Clean Energy,Unclassified,"Associate Developer, Wind",1,Evie Sorrell
AES Clean Energy,Unclassified,"Director, Interconnection",1,Jacob Pundyk
AES Clean Energy,Unclassified,"Manager of Interconnection, NY&NE",1,Musa Wafula
AES Clean Energy,Unclassified,"Senior Manager, Transmission Business",1,Cory Blair
AES Clean Energy,Unclassified,Sr. Manager - Transmission,1,Kofi Nimako
Aetheris,Development & Real Estate,Site Development Manager,1,Paul Anderson
Aetheris,Sales & Leasing,"Vice President, Sales & Business Development",1,Brittany Marley
AFCOM Florida,Construction & Delivery,Vice President,1,Trevor Martin
Affinius Capital,Development & Real Estate,Development Associate,1,Caitlin Edwards Bernstein
Affinius Capital,Development & Real Estate,Industrial/Logistics Development,1,Kolten Booher
Affinius Capital,Development & Real Estate,Real Estate Acquisitions & Development,1,Jordan Durrani
Affinius Capital,Executive leadership,"Managing Director, Investments",1,Nawder Alavi
Affinius Capital,"Strategy, Finance & Investment","Senior Associate, Investments",1,Joseph Cohen
Africa Data Centres,Development & Real Estate,Head of Site Selection,1,Gregory G B.
Agilitas Energy,Operations & Facilities,Executive Vice President of Operations,1,Jeffrey R. Perry
AGP Sustainable Real Assets,Development & Real Estate,Chief Development & Strategy Officer,1,Cory Levengood
AGP Sustainable Real Assets,Development & Real Estate,"Director, Real Estate & Acquisitions",1,David Ameneyro
AGPDC,Development & Real Estate,Vice President Real Estate & Acquistions,1,Jay Reinke
AGPDC,Unclassified,Director - AGPDC,1,Joshua Daly
AirTrunk,Construction & Delivery,"Regional Director Site Operations, South East Asia",1,John Le Tissier
AirTrunk,Design & Engineering,Product & Design - Middle East Lead,1,Colin McNally
AirTrunk,Development & Real Estate,Commercial Director Developments,1,Ali Blanch
AirTrunk,Development & Real Estate,"Senior Director, Real Estate",1,Darren Ansell
AirTrunk,Development & Real Estate,"Vice President, Site Selection",1,Ed Whitney
AirTrunk,Energy & Utilities,Technical Director Electrical and Energy,1,Jason Corbett
AirTrunk,Executive leadership,"Managing Director, Corporate and International",1,Carly Wishart
AirTrunk,Sales & Leasing,AVP - Customer Success,1,Hans Gunawan
AirTrunk,Sales & Leasing,Senior Director of Customer Success,1,Heather Laurie Musgrave
AirTrunk,Sales & Leasing,"Senior Director, Customer Success",1,Ler Miao Miao
AirTrunk,Sales & Leasing,"Vice President, Customer Solutions",1,Luca Melluso
AirTrunk,Unclassified,Deputy Chief Executive Officer,1,Michael Juniper
AirTrunk,Unclassified,"Vice President, Innovation and Intelligence",1,José Castañeda
"Alcorn Construction, Inc",Development & Real Estate,Director of Land Use Entitlements,1,Jeanne Shaffer
"Alcorn Construction, Inc",Pre-Construction & Cost,Vice President of Preconstruction,1,Kyle Adabahr
Alibaba Cloud,Design & Engineering,Technical Project Manager,1,Rafael Mardanov
Alibaba Cloud,Development & Real Estate,Site Selection TPM,1,Hongyi Su
Aligned Data Centers,Construction & Delivery,Senior Construction Manager,2,Eddie McCaslin; Melyssa Montgomery-Streit
Aligned Data Centers,Construction & Delivery,Field Coordinator & Planner,1,Jesús Urbano Carvajal
Aligned Data Centers,Construction & Delivery,Project Manager,1,Bethany Henkenis-Askestrand
Aligned Data Centers,Construction & Delivery,"Senior Director, Construction Management",1,Jeffrey Colby
Aligned Data Centers,Construction & Delivery,"Senior Vice President, Construction",1,Andrew Paxton
Aligned Data Centers,Construction & Delivery,Site Due Diligence Coordinator,1,Ronald Hohnsbeen
Aligned Data Centers,Construction & Delivery,"Vice President, Platform Execution",1,Rich Boitano
Aligned Data Centers,Design & Engineering,"Coordinator, Mechanical, Electrical, and Plumbing (MEP)",1,Eduardo Braga
Aligned Data Centers,Design & Engineering,EHS ENGINEER,1,Carlos Acuna
Aligned Data Centers,Design & Engineering,EHS Engineer,1,Maria Forero Gutierrez
Aligned Data Centers,Design & Engineering,Engineering Procurement Coordinator,1,Arthur Leão
Aligned Data Centers,Design & Engineering,Technical Team Leader at Odata - An Aligned Data Centers Company,1,William Stoquini
Aligned Data Centers,Design & Engineering,VP Design & Construction,1,Tristan Morgan
Aligned Data Centers,Development & Real Estate,"Senior Manager, Land Enablement",2,Eric Gates; John McGhee
Aligned Data Centers,Development & Real Estate,"Director, Strategy & Development",1,Christopher Coughlin
Aligned Data Centers,Development & Real Estate,Land Enablement Manager,1,Joseph Giannini
Aligned Data Centers,Development & Real Estate,"Manager, Land Enablement",1,Meredith Bussell
Aligned Data Centers,Development & Real Estate,Senior Associate - Strategy & Development,1,Harrison May
Aligned Data Centers,Development & Real Estate,Senior Manager Land Enablement,1,Eric Benson
Aligned Data Centers,Development & Real Estate,Vice President - Strategy & Development,1,Colton Brown
Aligned Data Centers,Development & Real Estate,"Vice President, Program Development",1,Colette M. Coleman
Aligned Data Centers,Energy & Utilities,"Senior Manager, Energy Strategy & Procurement",2,Ayo Fagbola; Ayobola Fagbola
Aligned Data Centers,Energy & Utilities,Director of Power Generation,1,Timothy Stephenson
Aligned Data Centers,Energy & Utilities,"Director, Utility Connections",1,Joseph Newton
Aligned Data Centers,Energy & Utilities,"EVP, Commercial Strategy & Energy",1,Matt Chambliss
Aligned Data Centers,Energy & Utilities,Procurement Category Manager - High Voltage/Substation/Power Generation,1,Tahmina Chowdhury
Aligned Data Centers,Energy & Utilities,"Project Manager, Utility Connections",1,Michael Esposito
Aligned Data Centers,Energy & Utilities,Purchasing - Operations & Energy Coordinator LATAM,1,Eduardo Andrés Hernández González
Aligned Data Centers,Energy & Utilities,Sr. Power Generation Portfolio Manager,1,James Dermody
Aligned Data Centers,Energy & Utilities,Sr.Engineering Manager. Utility data center,1,Baraa Kadhum
Aligned Data Centers,Energy & Utilities,VP Energy Strategy,1,Shelley McCain
Aligned Data Centers,Energy & Utilities,"VP, Utility Infrastructure",1,Blair Pritchard
Aligned Data Centers,Executive leadership,Chief Commercial Officer (CCO),1,Eric Jacobs
Aligned Data Centers,Executive leadership,Chief Development Officer,1,Michael Morris
Aligned Data Centers,Executive leadership,Chief Financial Officer,1,Meghan Baivier
Aligned Data Centers,Executive leadership,Chief Investment Officer,1,Anubhav Raj
Aligned Data Centers,Executive leadership,Chief Operating Officer,1,Paul Hohnsbeen
Aligned Data Centers,Executive leadership,Chief Strategy Officer,1,Troy Tazbaz
Aligned Data Centers,Executive leadership,Chief Technology Officer,1,Michael Welch
Aligned Data Centers,"Legal, People & Support",Regional EHS Manager,2,Kyle Lewis; Lindsey Kahle
Aligned Data Centers,"Legal, People & Support",Analista de EHS | Téc. SST Sr.,1,Marcela Santana
Aligned Data Centers,"Legal, People & Support",Analista EHS,1,Elena Butron
Aligned Data Centers,"Legal, People & Support",Safety Officer,1,Luander E.
Aligned Data Centers,"Legal, People & Support",Senior Manager EHS,1,Gregory DeValerio
Aligned Data Centers,"Legal, People & Support","Senior Manager, EHS",1,Taylor Landfried
Aligned Data Centers,Operations & Facilities,(former) Operations Manager LATAM,1,Luis Bendezu Hernandez
Aligned Data Centers,Operations & Facilities,Coordenadora de facilities,1,Senir Marques
Aligned Data Centers,Operations & Facilities,Executive Vice President of Operations,1,Billie Haggard
Aligned Data Centers,Operations & Facilities,Operations and Maintenance Manager,1,Estanislau Bianchi
Aligned Data Centers,Operations & Facilities,"Vice President, Operational Excellence",1,Robert Owens
Aligned Data Centers,Pre-Construction & Cost,Director of Preconstruction,1,W. Von Blackmon
Aligned Data Centers,Pre-Construction & Cost,"Director, Preconstruction",1,Mike Kroeger
Aligned Data Centers,Pre-Construction & Cost,Preconstruction Manager,1,Alex Jaimes
Aligned Data Centers,Pre-Construction & Cost,Senior Electrical Cost Manager,1,Alex Arellanes
Aligned Data Centers,Procurement & Supply Chain,Procurement Planning Specialist,1,Eder Viveiros
Aligned Data Centers,Sales & Leasing,Sr. Director of Sales,2,Jane Hseih; Michelle Forbes
Aligned Data Centers,Sales & Leasing,EVP Marketing,1,Lisa Skelton
Aligned Data Centers,Sales & Leasing,Executive Vice President (EVP) of Revenue,1,Yvonne Deir
Aligned Data Centers,Sales & Leasing,Senior Vice President Of Sales,1,Michael Chai
Aligned Data Centers,Sales & Leasing,"Sr. Director, Sales",1,Shevaun Good
Aligned Data Centers,"Strategy, Finance & Investment","VP, Global AI & Hyperscale Strategy",1,Mercy Ringelmann Manning
Aligned Data Centers,Unclassified,Especialista em Planejamento de Manutenção,3,Gustavo Silva; Luciana de Sousa Mendes; Pedro Freire
Aligned Data Centers,Unclassified,Analista de operaciones,2,Carlos Andres Hermosilla; Hugo Barriga
Aligned Data Centers,Unclassified,Analista de operações,2,Antonio Ribeiro; Marcos Borba
Aligned Data Centers,Unclassified,Gerente de Operação e Manutenção,2,Anderson Magrini; Thiago Orsim
Aligned Data Centers,Unclassified,Analista de controle de processos Jr,1,Pedro Santim
Aligned Data Centers,Unclassified,Analista de Missão Critica Pleno,1,Caio da Silva
Aligned Data Centers,Unclassified,Analista de operaciones y mantenimiento,1,Juan Samuel Rivera Gonzalez
Aligned Data Centers,Unclassified,Analista De Operação e Manutenção Elétrica,1,Maykon Custodio
Aligned Data Centers,Unclassified,Analista de Operação e manutenção mecânica,1,Marcelo Silva
Aligned Data Centers,Unclassified,Analista de Operação e Manutenção Mecânica,1,Diego Martz
Aligned Data Centers,Unclassified,Analista de operações e manutenção mecânica PL1,1,Adilson Nascimento
Aligned Data Centers,Unclassified,Analista de operações o&M,1,Eduardo De Gaspari
Aligned Data Centers,Unclassified,Analista de Operações Sênior I,1,Sergio de Oliveira
Aligned Data Centers,Unclassified,Analista de procesos,1,Alejandro Carrasco
Aligned Data Centers,Unclassified,Analista mecanico,1,Javier Riquelme
Aligned Data Centers,Unclassified,Apoyo Proyecto Optimizacion y Seguimiento BMS,1,Bastian Alexander Astorga Fernandez
Aligned Data Centers,Unclassified,BMS Operator,1,Stefanny Vargas
Aligned Data Centers,Unclassified,"CAPEX Control, Administrative & Process Manager LATAM",1,Henrique Bergamo
Aligned Data Centers,Unclassified,CEO & Board Member,1,Andrew Schaap
Aligned Data Centers,Unclassified,Chief Innovation Officer,1,Phill Lawson-Shanks
Aligned Data Centers,Unclassified,Coordenador de operação e manutenção,1,Wagner Henrique Rodrigues
Aligned Data Centers,Unclassified,Coordenador O&M,1,Jean Lucas Menezes Desanti
Aligned Data Centers,Unclassified,"Coordinadora de Procesos - LATAM (Brasil, México, Chile y Colombia)",1,Karín Romero Ruiz
Aligned Data Centers,Unclassified,Director de Operaciones,1,Fabio Cortes
Aligned Data Centers,Unclassified,Diretor De Expansão Latam,1,Vitor Caram
Aligned Data Centers,Unclassified,Diretor de Implantação,1,Sergio Mendes
Aligned Data Centers,Unclassified,Engenheiro de planejamento,1,André Pavani
Aligned Data Centers,Unclassified,Especialista de Planejamento de manutenção,1,Lui de Souza
Aligned Data Centers,Unclassified,Especialista de Planejamento de Manutenção,1,Rodrigo Cardoso
Aligned Data Centers,Unclassified,Gerente de O & M,1,Miguel Amador Cabrera
Aligned Data Centers,Unclassified,Gerente de Operación y Mantenimiento,1,César Uribe
Aligned Data Centers,Unclassified,Gerente de Planejamento de Portfólio - PMO,1,Douglas Miglioli
Aligned Data Centers,Unclassified,Gerente Executivo de Implantação e Fit out,1,Vitor da Silva
Aligned Data Centers,Unclassified,Gerente O&M ST02,1,Juan Jerez Medina
Aligned Data Centers,Unclassified,Ingeniero de instalaciones,1,Jose Campos Tena
Aligned Data Centers,Unclassified,Ingeniero de instalaciones Data Center,1,Ricardo Calderon Rojas
Aligned Data Centers,Unclassified,Ingeniero de planificación,1,Diego Calderon Navarrete
Aligned Data Centers,Unclassified,Ingeniero de Planificación e infraestructura,1,Javier López
Aligned Data Centers,Unclassified,Jefe de construcción,1,Cristhian Gomez
Aligned Data Centers,Unclassified,Lider Técnico,1,Yazmín Gerardo
Aligned Data Centers,Unclassified,Manutenção,1,Elielmo Oliveira
Aligned Data Centers,Unclassified,Manutenção predial,1,Wesley Carvalho
Aligned Data Centers,Unclassified,O&M Executive Manager,1,Christian Hernández
Aligned Data Centers,Unclassified,O&M Manager,1,Javier San Nicolas
Aligned Data Centers,Unclassified,Planning Coordinator,1,Giuliano Pinheiro Machado
Aligned Data Centers,Unclassified,Técnico de mantenimiento en ODATA COLOMBIA,1,Diego La Rota Maldonado
Aligned Data Centers,Unclassified,técnico de operação e manutenção mecânica,1,Thiago Rodrigues Lima
Aligned Data Centers,Unclassified,Técnico electromecánico,1,Ramiro Mendoza
Aligned Data Centers,Unclassified,Técnico eléctrico,1,Josue Martínez Ortiz
Aligned Data Centers,Unclassified,Técnico em segurança do trabalho,1,Juliana Souza
